abbr,bottom_left,top_right,osm_file
dal,"(32.613216, -97.00048203)","(33.02393655, -96.46363177)",north-america-latest.osm.pbf
det,"(42.25519197, -83.287959)","(42.45023198, -82.91043917)",north-america-latest.osm.pbf
hou,"(29.53707044, -95.90974195)","(30.11035054, -95.01205252)",north-america-latest.osm.pbf
ind,"(39.4559384143, -86.5932174667)","(40.0850265127, -85.7335372909)",north-america-latest.osm.pbf
mia,"(25.70905166, -80.31976004)","(25.85578266, -80.13915701)",north-america-latest.osm.pbf
min,"(44.89014993, -93.32916301)","(45.05124994, -93.19385847)",north-america-latest.osm.pbf
tam,"(27.8088224825, -82.6120365874)","(28.1308423329, -82.2810734527)",north-america-latest.osm.pbf
orl,"(28.34806336, -81.50753774)","(28.61428292, -81.22758628)",north-america-latest.osm.pbf
phi,"(39.86700494, -75.28029775)","(40.13795927, -74.95583142)",north-america-latest.osm.pbf
cls,"(32.66850496, -80.14384593)","(32.97351496, -79.79706405)",north-america-latest.osm.pbf
nor,"(29.86548087, -90.14003006)","(30.1994687, -89.62517636)",north-america-latest.osm.pbf
tol,"(41.58026595, -83.69423706)","(41.73285188, -83.45461085)",north-america-latest.osm.pbf
fwa,"(40.96544698, -85.30340355)","(41.20051805, -85.00072774)",north-america-latest.osm.pbf
stl,"(38.53232148, -90.32065253)","(38.77433954, -90.16629233)",north-america-latest.osm.pbf
lin,"(40.69376696, -96.80415003)","(40.90028096, -96.57730706)",north-america-latest.osm.pbf
okl,"(35.29069494, -97.83367505)","(35.67475198, -97.12471801)",north-america-latest.osm.pbf
tul,"(35.96809697, -96.07447803)","(36.336505, -95.68159702)",north-america-latest.osm.pbf
crl,"(35.01317398, -81.00955404)","(35.39313294, -80.67010406)",north-america-latest.osm.pbf
jac,"(32.20965695, -90.32187101)","(32.41099798, -90.06559306)",north-america-latest.osm.pbf
bir,"(33.2856589108, -87.1716317778)","(33.7093813631, -86.4822396879)",north-america-latest.osm.pbf
san,"(29.1349523721, -98.8848932845)","(29.7114959413, -98.1666620834)",north-america-latest.osm.pbf
dmo,"(41.47963886, -93.70917545)","(41.65891058, -93.49369113)",north-america-latest.osm.pbf
mwa,"(42.92082052, -88.07106187)","(43.19494346, -87.86296713)",north-america-latest.osm.pbf
far,"(46.73142993, -96.90377104)","(46.96294907, -96.75283694)",north-america-latest.osm.pbf
lit,"(34.62566569, -92.52159052)","(34.82182259, -92.15065543)",north-america-latest.osm.pbf
mem,"(34.99418796, -90.30836601)","(35.26387897, -89.63708905)",north-america-latest.osm.pbf
lou,"(37.99709999, -85.94706447)","(38.38013906, -85.4051)",north-america-latest.osm.pbf
wil,"(39.68803513, -75.588459)","(39.77303886, -75.47077532)",north-america-latest.osm.pbf
new,"(40.67325015, -74.25132408)","(40.78813864, -74.11278706)",north-america-latest.osm.pbf
pro,"(41.77241396, -71.47266702)","(41.86157092, -71.37361354)",north-america-latest.osm.pbf
cnc,"(43.15178697, -71.66871001)","(43.30981593, -71.45675054)",north-america-latest.osm.pbf
vir,"(36.55045299, -76.22776)","(36.9602896515, -75.8361606295)",north-america-latest.osm.pbf
laf,"(30.12395915, -92.10779633)","(30.29646215, -91.97133333)",north-america-latest.osm.pbf
spa,"(44.88728106, -93.20778701)","(44.99201595, -93.00432)",north-america-latest.osm.pbf
cle,"(41.39062799, -81.87909376)","(41.60443592, -81.53274405)",north-america-latest.osm.pbf
col,"(39.80869355, -83.21017972)","(40.15727193, -82.7713119)",north-america-latest.osm.pbf
sio,"(43.46543829, -96.84073234)","(43.61636568, -96.65113402)",north-america-latest.osm.pbf
jvi,"(30.10374795, -82.04950205)","(30.58619697, -81.31671207)",north-america-latest.osm.pbf
sjo,"(37.1414758269, -122.0949518717)","(37.4779052907, -121.6355019434)",north-america-latest.osm.pbf
bri,"(41.1399013, -73.24407178)","(41.22962127, -73.15371981)",north-america-latest.osm.pbf
aur,"(41.67975395, -88.40859508)","(41.82219098, -88.20484308)",north-america-latest.osm.pbf
fwo,"(32.55158395, -97.59238806)","(33.04952893, -97.03358082)",north-america-latest.osm.pbf
pho,"(33.2609584854, -112.4185693473)","(33.8001384123, -111.8390405387)",north-america-latest.osm.pbf
veg,"(36.12955396, -115.41462803)","(36.38049096, -115.06206607)",north-america-latest.osm.pbf
sac,"(38.43757395, -121.56012008)","(38.68550595, -121.36274)",north-america-latest.osm.pbf
ral,"(35.70824992, -78.81904615)","(35.97172298, -78.471053)",north-america-latest.osm.pbf
tij,"(32.4249185513, -117.1397470327)","(32.5656498259, -116.7634053554)",north-america-latest.osm.pbf
tor,"(43.58025326, -79.63927271)","(43.85544246, -79.11321936)",north-america-latest.osm.pbf
la,"(33.70491767, -118.6684876)","(34.33743470000001, -118.15058599999998)",north-america-latest.osm.pbf
mex,"(19.276690399999996, -99.30249419999998)","(19.547383599999996, -98.96807)",north-america-latest.osm.pbf
cap,"(-34.4173538995, 18.1678492311)","(-33.4809588827, 19.0160474723)",africa-latest.osm.pbf
joh,"(-26.354684499999998, 27.870233)","(-26.065552, 28.217929199999997)",africa-latest.osm.pbf
tri,"(34.39875877, 35.80413378)","(34.46744277, 35.90192293)",asia-latest.osm.pbf
tok,"(35.572815199999994, 139.6656115)","(35.7743211, 139.9297717)",asia-latest.osm.pbf
bei,"(33.86233088, 35.46678288)","(33.91611278, 35.54258706)",asia-latest.osm.pbf
man,"(14.55699989, 120.94169186)","(14.63900265, 121.0261672)",asia-latest.osm.pbf
dha,"(23.640906356, 90.2838586752)","(23.9255401255, 90.47628227)",asia-latest.osm.pbf
nag,"(35.02595119, 136.791969)","(35.2671670747, 137.0692562256)",asia-latest.osm.pbf
dep,"(-6.4977897487, 106.6954987135)","(-6.3026331708, 106.9254671799)",asia-latest.osm.pbf
kol,"(22.3648473516, 88.1666737479)","(22.792739206, 88.5369542761)",asia-latest.osm.pbf
hir,"(34.28574582, 132.17854493)","(34.61476695, 132.69609795)",asia-latest.osm.pbf
tai,"(24.96051577, 121.45701487)","(25.0962842204, 121.66589014)",asia-latest.osm.pbf
abu,"(24.2194915152, 54.2130351116)","(24.6383564894, 54.8097300579)",asia-latest.osm.pbf
tav,"(31.97497081, 34.7198875045)","(32.2186996875, 34.8963554)",asia-latest.osm.pbf
dba,"(24.8046819946, 54.8772337094)","(25.52506754, 55.7121946469)",asia-latest.osm.pbf
mel,"(-38.4958408727, 144.4939613528)","(-37.6091181239, 145.4277992434)",australia-oceania-latest.osm.pbf
per,"(-32.2173085831, 115.6382106281)","(-31.6757949413, 116.1206623722)",australia-oceania-latest.osm.pbf
syd,"(-34.0033442, 151.0973807)","(-33.83115639999999, 151.2860763)",australia-oceania-latest.osm.pbf
rec,"(-8.15518698, -35.01864787)","(-7.9829266761, -34.85855251)",south-america-latest.osm.pbf
cur,"(-25.64321734, -49.38914006)","(-25.34670098, -49.1843182)",south-america-latest.osm.pbf
sp,"(-23.7106507, -46.7933824)","(-23.3906507, -46.4733824)",south-america-latest.osm.pbf
bue,"(-34.705637, -58.5314494)","(-34.5265535, -58.3351423)",south-america-latest.osm.pbf
sti,"(-33.6988191279, -70.9967356671)","(-33.1690210703, -70.2963071514)",south-america-latest.osm.pbf
chi,"(41.644531, -87.940101)","(42.0230396, -87.5240812)",north-america-latest.osm.pbf
la,"(33.659541, -118.6681779)","(34.337306, -118.1552947)",north-america-latest.osm.pbf
dc,"(38.7916303, -77.1197949)","(38.995968, -76.909366)",north-america-latest.osm.pbf
nyc,"(40.476578, -74.258843)","(40.91763, -73.700233)",north-america-latest.osm.pbf
aus,"(30.179010799999986, -97.87914529999999)","(30.390168999999993, -97.606218)",north-america-latest.osm.pbf
bos,"(42.2002534, -71.2182912)","(42.5202534, -70.8982912)",north-america-latest.osm.pbf
sea,"(47.5355029, -122.43583580000002)","(47.730591999999994, -122.22292999999999)",north-america-latest.osm.pbf
van,"(49.19844515, -123.22496118)","(49.31617132, -123.02324196)",north-america-latest.osm.pbf
tor,"(43.58025326, -79.63927271)","(43.85544246, -79.11321936)",north-america-latest.osm.pbf
ora,"(12.4678082508, -70.0579476949)","(12.5516012533, -69.9673104879)",central-america-latest.osm.pbf
hav,"(22.9249265302, -82.5871090603)","(23.2073062824, -82.08142134)",central-america-latest.osm.pbf
mos,"(55.14217447, 36.80310116)","(55.9687961968, 37.96742764)",europe-latest.osm.pbf
stp,"(59.6240546044, 29.4030022377)","(60.2527944649, 30.8229851479)",europe-latest.osm.pbf
ham,"(53.3665608159, 9.6108122175)","(53.7734987559, 10.4320402448)",europe-latest.osm.pbf
ven,"(45.23124654, 12.16683483)","(45.57799807, 12.59657089)",europe-latest.osm.pbf
ant,"(51.14328674, 4.21757683)","(51.37764115, 4.49796834)",europe-latest.osm.pbf
cop,"(55.61287877, 12.45300013)","(55.73270285, 12.7450285695)",europe-latest.osm.pbf
ams,"(52.27817413, 4.72924173)","(52.43106373, 5.07916213)",europe-latest.osm.pbf
utr,"(52.02628193, 4.97009605)","(52.14205052, 5.19515493)",europe-latest.osm.pbf
rig,"(56.85734614, 23.93237049)","(57.08598149, 24.32484355)",europe-latest.osm.pbf
dbl,"(53.2274239801, -6.4720543035)","(53.4255163438, -6.0387809881)",europe-latest.osm.pbf
fra,"(49.9816003637, 8.4079723385)","(50.2529749698, 8.8170838261)",europe-latest.osm.pbf
bud,"(47.34968983, 18.92510569)","(47.6131468, 19.3312028638)",europe-latest.osm.pbf
kie,"(50.208776302, 30.209687164)","(50.6393235938, 30.8293107137)",europe-latest.osm.pbf
bar,"(41.31703522, 2.05249763)","(41.46825196, 2.22835549)",europe-latest.osm.pbf
ber,"(52.33825997, 13.08834998)","(52.67550995, 13.76115998)",europe-latest.osm.pbf
lon,"(51.28676019, -0.51037513)","(51.69187409, 0.33401545)",europe-latest.osm.pbf
mad,"(40.31197738, -3.88895392)","(40.64372926, -3.51791632)",europe-latest.osm.pbf
edi,"(55.8691504422, -3.3376781043)","(55.9918560551, -3.0760661658)",europe-latest.osm.pbf
the,"(40.582175127, 22.8930444997)","(40.6623544342, 22.9933301251)",europe-latest.osm.pbf
por,"(41.13835064, -8.69129418)","(41.18593529, -8.55200908)",europe-latest.osm.pbf
vie,"(48.11790685, 16.18183099)","(48.32266786, 16.57751314)",europe-latest.osm.pbf
mil,"(45.38673805, 9.04088668)","(45.53584817, 9.27811022)",europe-latest.osm.pbf
mns,"(53.79384695, 27.37401757)","(53.97178964, 27.8644007737)",europe-latest.osm.pbf
kra,"(49.96766673, 19.79223545)","(50.12613826, 20.21734546)",europe-latest.osm.pbf
tal,"(59.35180756, 24.55016998)","(59.513385295, 24.92628307)",europe-latest.osm.pbf
sof,"(42.62007935, 23.19468464)","(42.78678593, 23.42635717)",europe-latest.osm.pbf
tou,"(43.5416975641, 1.3466353682)","(43.6773693026, 1.5525582834)",europe-latest.osm.pbf
par,"(48.8155755, 2.224122)","(48.902156, 2.4697602)",europe-latest.osm.pbf
